Message,IsAnomal,NeedAttention,Level
"2023-02-19 14:20:45.678 - Payment gateway connection timed out for user 'johnDoe' attempting to make purchase #1234, retrying in 30 seconds",1,1,2
"2023-02-18 09:05:00.012 - Data processing failed on server 'BigDataHub' due to insufficient disk space (34% utilization), rescheduling task for later",1,1,2
"2023-02-19 15:10:23.456 - User 'janeDoe' successfully logged in to the 'UserPortal' with session ID 'abc123', accessing dashboard page",0,0,1
2023-02-18 11:45:30.999 - Critical error on server 'OrderProcessor': fatal exception occurred while processing order #5678 due to invalid payment method,1,1,4
2023-02-19 12:35:15.678 - Connection to database 'ordersDB' timed out for query 'SELECT * FROM orders WHERE status = 'pending'',1,1,2
"2023-02-18 16:10:23.456 - User 'bobSmith' successfully logged out of the 'UserPortal' with session ID 'xyz789', terminating session",0,0,1
"2023-02-19 12:15:01.234 - Data inconsistency detected in database 'ProductCatalog' during nightly backup procedure, data integrity check failed.",1,1,2
2023-02-20 14:30:45.678 - User authentication failure for user 'johndoe' due to incorrect password entered on login attempt,1,1,2
"2023-02-21 08:00:12.345 - Fatal payment processing error occurred in payment gateway 'Stripe' for order #1234, transaction rolled back due to insufficient funds",1,1,3
"2023-02-22 16:15:30.901 - Successful user registration for new account 'newuser1', email confirmation sent and password reset initiated",0,0,1
"2023-02-23 10:45:01.234 - System crash detected on server 'OrderProcessor' due to memory leak, automatic restart triggered",1,1,2
2023-02-18 12:45:01.123 - User 'johndoe' successfully authenticated and accessed the dashboard on platform 'SalesForce'.,0,0,1
2023-02-19 14:30:00.678 - Data integrity issue detected on server 'DatabaseCluster' during routine backups: corrupted record found in table 'orders' with ID 1234.,1,1,2
2023-02-17 18:15:03.456 - Critical error on server 'PaymentGateway': fatal exception occurred while processing payment for order #5678 due to insufficient funds.,1,1,4
"2023-02-20 10:00:04.890 - User 'janeuser' failed to login to platform 'CRM' after 5 attempts, account temporarily locked.",1,1,2
